;Infracciones;AOL;Suspensiones;Juicio Experto;N° Dest Sin AOL;Ton Dest SIN AOL;N° Patentes Utilizadas;Prom Días (Fecha Recurso a Fecha Declaración);N° Regiones destino;N° Transacciones;N° Destinatarios;N° Especies Visadas;N° Declaraciones Origen;Toneladas Abastecimiento;Abastecimiento DA;Abastecimiento DI;Abastecimiento COM;N° Declaraciones de Proveedor;Toneladas Destinos;N° Declaraciones Abastecimiento;Toneladas Stock;N° Declaraciones Destinos;Toneladas Visadas;N° Solicitudes AOL;Prom Tons AOL
Alberto Botía Olympiakos & Spain;6;2;0;;0;0,00;9;0;1;216;2;2;533;292,53;292,525;0;0;533;292,53;106;0,00;110;292,668;110;2,66
Gustavo Bou Racing & Argentina;6;0;0;;11;1,85;57;9;6;471;89;9;62;53,57;0;0;53,574;36;47,05;54;6,53;417;55,653;408;0,14
Sofiane Boufal Lille & France*;6;0;0;;0;0,00;5;0;4;25;7;2;32;23,12;23,119;0;0;32;23,12;12;0,00;13;23,905;13;1,84
Michael Bradley Toronto & USA;5;1;0;;64;7,24;10;25;5;736;39;11;109;44,37;0;0;44,367;98;41,86;86;3,68;650;46,506;604;0,08
Robbie Brady Norwich City & Rep Ireland*;5;6;1;;20;1,33;37;38;4;404;93;34;81;25,82;0;0;24,298;77;18,11;71;7,87;333;205,021;319;0,64
Yacine Brahimi Porto & Algeria;5;2;0;;137;10,97;40;20;4;475;33;16;115;27,64;0;0;27,638;112;25,24;109;3,86;366;55,624;256;0,22
Martin Braithwaite Toulouse & Denmark*;5;3;0;;100;3,99;8;33;2;287;32;10;79;11,47;0;0;11,466;60;6,96;57;5,46;230;21,007;150;0,14
Claudio Bravo Barcelona & Chile*;5;1;0;;10;0,55;13;21;2;179;19;17;47;7,83;0;0;7,829;81;6,17;69;1,66;110;28,242;102;0,28
Bruno Soriano Villarreal & Spain*;4;31;0;;131;15,10;12;8;2;672;63;14;113;57,44;0;0;57,435;120;36,16;102;21,27;570;46,541;465;0,10
Constantin Budescu Dalian Yifang & Romania*;4;0;1;;0;0,00;4;1;2;7;3;1;4;5,90;0;0;5,9;3;5,90;2;0,00;5;5,9;5;1,18
Gigi Buffon Juventus & Italy;4;104;0;;103;73,56;15;2;4;1162;9;2;861;1.576,42;733,691;0;837,652;1.046;1.576,39;546;0,03;616;1511,807;584;2,59
Sergio Busquets | Barcelona & Spain;4;0;0;;70;11,89;1;5;3;196;27;12;65;15,28;0;0;15,276;64;15,55;60;0,00;136;27,73;83;0,33
ohan Cabaye | Crystal Palace & France*;4;0;0;;11;0,70;4;12;2;25;3;2;12;1,53;0;0;1,53;12;1,53;11;0,00;14;1,372;5;0,27
Tim Cahill | sin equipo & Australia;4;0;0;;5;0,60;6;2;4;27;8;1;15;13,80;4,5;0;9,298;14;13,80;13;0,00;14;13,198;13;1,02
Caio | Grasshoppers & Brazil*;4;0;0;;0;0,00;5;1;2;12;2;1;8;3,10;0;0;3,1;7;3,10;6;0,00;6;3,1;6;0,52
Hakan Calhanoglu |Bayer 04 Leverkusen & Turkey;4;0;0;;0;0,00;5;3;1;10;2;1;16;15,58;0;0;15,577;5;15,58;5;0,00;5;15,577;5;3,12
Jose Callejón | Napoli & Spain;3;1;0;;43;7,05;9;31;4;80;15;2;39;19,81;0;0;19,808;31;17,60;31;2,21;49;11,416;27;0,42
Ignacio Camacho | Málaga & Spain;3;2;0;;28;0,42;3;29;2;131;21;11;32;2,02;0;0;2,021;38;1,56;36;0,46;95;7,002;70;0,10
Esteban Cambiasso | Olympiakos & Argentina*;3;2;0;;598;24,57;14;19;4;740;38;17;125;37,36;2,4;0;34,763;118;29,52;103;9,64;637;9,41;116;0,08
Emre Can | Liverpool & Germany;3;0;0;;82;3,20;7;29;4;210;14;14;65;6,34;0;0;6,341;86;5,57;85;1,49;125;35,07;59;0,59
Lorik Cana | Nantes & Albania*;3;1;0;;76;6,49;35;6;3;313;39;14;103;33,83;0;0;33,826;95;19,78;93;14,08;220;27,384;152;0,18
Antonio Candreva | Lazio & Italy;3;5;0;;21;1,17;98;33;5;591;96;33;112;18,06;0;0;18,056;100;14,69;92;3,70;499;111,828;487;0,23
Facundo Cardozo | Bolivar (loan Velez) & Arg*;3;28;0;;11;0,92;7;17;1;256;30;3;49;19,73;0;0;19,73;34;19,93;34;0,00;222;19,264;219;0,09
Edinson Cavani | PSG & Uruguay;3;2;0;;4;0,70;26;23;3;89;47;14;22;11,57;0;0;10,97;15;5,87;15;6,24;74;37,826;71;0,53
Juan Cazares | Atletico Mineiro & Ecuador*;3;0;0;;2;0,28;5;5;4;270;47;3;55;18,90;0;0;18,9;87;18,57;84;0,33;186;19,42;185;0,10
Santi Cazorla | Arsenal & Spain;3;0;0;;0;0,00;12;0;2;79;9;3;40;17,96;7,392;0;10,57;36;17,26;35;0,00;44;17,862;44;0,41
Petr Cech | Arsenal & Czech Rep*;3;46;0;;0;0,00;7;0;8;944;42;14;196;64,14;0,315;0;63,825;156;64,17;159;0,00;785;548,127;785;0,70
Jose Francisco Cevallos | LDU & Ecuador*;3;0;0;;0;0,00;2;1;2;4;2;1;4;3,61;0,81;0;2,8;2;3,61;2;0,00;2;3,61;2;1,81
Charyl Chappuis | Suphanburi & Thailand*;3;0;0;;0;0,00;1;2;1;8;4;2;4;2,42;0;0;2,418;4;1,98;3;0,44;5;3,164;5;0,63
Sunil Chhetri | Bengaluru (loan Mumbai) & Ind;3;1;0;;0;0,00;6;25;6;48;23;8;7;6,52;2,25;0;4,265;11;6,55;14;0,00;34;11,918;34;0,35
Giorgio Chiellini | Juventus & Italy;2;0;0;;126;60,46;11;5;4;235;22;4;105;136,88;56,009;0;80,874;112;136,78;76;0,10;159;78,058;69;1,13
Yassine Chikhaoui | Al Gharafa & Tunisia*;2;95;0;;343;19,05;18;7;2;3185;66;30;292;97,26;0;0;97,259;429;96,28;423;1,58;2.762;219,339;2.431;0,09
Vlad Chiriches | Napoli & Romania*;2;0;0;;73;79,42;12;1;2;249;3;2;633;474,97;474,67;0;0,3;633;474,97;119;0,00;130;395,65;112;3,53
Alejandro Chumacero | Strongest & Bolivia*;2;0;0;;72;8,06;2;55;1;71;5;5;21;7,30;0;0;7,3;18;8,55;14;0,00;57;1,377;11;0,13
Jasper Cillessen | Ajax & Holland;2;2;0;;33;1,35;3;15;1;74;8;9;32;2,70;0;0;2,7;32;2,36;31;0,39;43;4,35;21;0,21
Viktor Claesson | Elfsborg & Sweden*;2;16;0;;28;0,76;9;3;2;801;50;14;116;24,91;0;0;24,907;150;20,30;145;4,61;656;133,709;629;0,21
